,Locality,Total Count,Total Expenditures,month,year
3862,007 - Amelia,21,18077,2,2025
4856,007 - Amelia,16,13696,1,2025
6846,007 - Amelia,20,16837,6,2025
7841,007 - Amelia,17,15459,3,2025
8832,007 - Amelia,18,16828,5,2025
1002,009 - Amherst,80,26019,8,2017
2000,009 - Amherst,56,13121,12,2017
4983,009 - Amherst,80,25830,7,2017
8959,009 - Amherst,77,22208,11,2017
9953,009 - Amherst,59,14153,10,2017
10945,009 - Amherst,85,29294,9,2017
5,009 - Amherst,72,21905,4,2018
1126,009 - Amherst,81,32568,8,2018
2124,009 - Amherst,91,33779,12,2018
2994,009 - Amherst,56,15013,2,2018
3989,009 - Amherst,60,22470,1,2018
5107,009 - Amherst,75,29012,7,2018
5978,009 - Amherst,69,25912,6,2018
6973,009 - Amherst,69,18624,3,2018
7968,009 - Amherst,67,15303,5,2018
9083,009 - Amherst,93,36388,11,2018
10076,009 - Amherst,89,30960,10,2018
11069,009 - Amherst,89,37633,9,2018
130,009 - Amherst,119,43338,4,2019
1251,009 - Amherst,129,49642,8,2019
2248,009 - Amherst,118,35519,12,2019
3118,009 - Amherst,103,43111,2,2019
4113,009 - Amherst,94,30496,1,2019
5232,009 - Amherst,118,46098,7,2019
6101,009 - Amherst,114,43728,6,2019
7097,009 - Amherst,109,37490,3,2019
8093,009 - Amherst,125,45006,5,2019
9206,009 - Amherst,127,51874.2,11,2019
10200,009 - Amherst,142,41840.4,10,2019
11194,009 - Amherst,134,40124.6,9,2019
255,009 - Amherst,125,36028.9,4,2020
1376,009 - Amherst,110,38329,8,2020
2372,009 - Amherst,96,30430.2,12,2020
3242,009 - Amherst,129,43738.6,2,2020
4237,009 - Amherst,126,37924.9,1,2020
5356,009 - Amherst,122,65520.6,7,2020
6226,009 - Amherst,116,50043.4,6,2020
7222,009 - Amherst,126,35582.1,3,2020
8218,009 - Amherst,112,35675,5,2020
9330,009 - Amherst,101,33736,11,2020
10324,009 - Amherst,94,26571,10,2020
11318,009 - Amherst,118,38884,9,2020
380,009 - Amherst,102,36594,4,2021
1499,009 - Amherst,142,75504,8,2021
2492,009 - Amherst,198,84609,12,2021
3367,009 - Amherst,97,29281,2,2021
4362,009 - Amherst,101,35487,1,2021
5477,009 - Amherst,128,62974,7,2021
6348,009 - Amherst,123,41856,6,2021
7347,009 - Amherst,88,26774,3,2021
8337,009 - Amherst,97,35809,5,2021
9452,009 - Amherst,194,80683,11,2021
10445,009 - Amherst,187,89495,10,2021
11441,009 - Amherst,144,62429,9,2021
501,009 - Amherst,229,102666,4,2022
1623,009 - Amherst,231,107255,8,2022
2617,009 - Amherst,229,166672,12,2022
3487,009 - Amherst,203,87633,2,2022
4482,009 - Amherst,207,96591,1,2022
5601,009 - Amherst,246,123670,7,2022
6471,009 - Amherst,246,105571,6,2022
7468,009 - Amherst,205,79201,3,2022
8458,009 - Amherst,243,110881,5,2022
9576,009 - Amherst,228,144601,11,2022
10569,009 - Amherst,226,94362,10,2022
11565,009 - Amherst,254,116236,9,2022
625,009 - Amherst,244,169106,4,2023
1748,009 - Amherst,274,195953,8,2023
2742,009 - Amherst,268,190080,12,2023
3611,009 - Amherst,234,158919,2,2023
4607,009 - Amherst,231,169448,1,2023
5725,009 - Amherst,273,208110,7,2023
6595,009 - Amherst,255,169802,6,2023
7592,009 - Amherst,226,136208,3,2023
8582,009 - Amherst,252,152230,5,2023
9701,009 - Amherst,259,177558,11,2023
10694,009 - Amherst,261,160694,10,2023
11690,009 - Amherst,282,190652,9,2023
750,009 - Amherst,279,177372,4,2024
1874,009 - Amherst,289,223018,8,2024
2868,009 - Amherst,265,157060,12,2024
3736,009 - Amherst,277,187065.33,2,2024
4731,009 - Amherst,282,191354.33,1,2024
5852,009 - Amherst,286,216225,7,2024
6721,009 - Amherst,270,188171,6,2024
7716,009 - Amherst,272,167830,3,2024
8708,009 - Amherst,280,195809,5,2024
9827,009 - Amherst,270,181646,11,2024
10819,009 - Amherst,280,184888,10,2024
11815,009 - Amherst,285,186571,9,2024
876,009 - Amherst,272,170102,4,2025
3863,009 - Amherst,268,189984,2,2025
4857,009 - Amherst,257,162376,1,2025
6847,009 - Amherst,272,178758,6,2025
7842,009 - Amherst,258,148407,3,2025
8833,009 - Amherst,284,176563,5,2025
1003,011 - Appomattox,19,6434,8,2017
2001,011 - Appomattox,17,2723,12,2017
4984,011 - Appomattox,18,4257,7,2017
8960,011 - Appomattox,15,4012,11,2017
9954,011 - Appomattox,14,3113,10,2017
10946,011 - Appomattox,17,4677,9,2017
6,011 - Appomattox,16,1702,4,2018
1127,011 - Appomattox,16,3782,8,2018
2125,011 - Appomattox,19,3926,12,2018
2995,011 - Appomattox,17,4054,2,2018
3990,011 - Appomattox,19,3633,1,2018
5108,011 - Appomattox,18,5197,7,2018
5979,011 - Appomattox,10,1681,6,2018
6974,011 - Appomattox,14,3602,3,2018
7969,011 - Appomattox,REDACTED,2731,5,2018
9084,011 - Appomattox,17,3551,11,2018
10077,011 - Appomattox,20,4644,10,2018
11070,011 - Appomattox,19,3077,9,2018
131,011 - Appomattox,23,5716,4,2019
1252,011 - Appomattox,37,10324,8,2019
2249,011 - Appomattox,37,7968,12,2019
3119,011 - Appomattox,20,5094,2,2019
4114,011 - Appomattox,19,4269,1,2019
5233,011 - Appomattox,28,7340,7,2019
6102,011 - Appomattox,22,6169,6,2019
7098,011 - Appomattox,19,3403,3,2019
8094,011 - Appomattox,25,8276,5,2019
9207,011 - Appomattox,38,9733,11,2019
10201,011 - Appomattox,34,7862,10,2019
11195,011 - Appomattox,39,8548,9,2019
256,011 - Appomattox,33,7207,4,2020
1377,011 - Appomattox,39,14401,8,2020
2373,011 - Appomattox,38,10952,12,2020
3243,011 - Appomattox,40,9146,2,2020
4238,011 - Appomattox,40,8784,1,2020
5357,011 - Appomattox,37,13244,7,2020
6227,011 - Appomattox,33,11530,6,2020
7223,011 - Appomattox,36,6901,3,2020
8219,011 - Appomattox,28,7656,5,2020
9331,011 - Appomattox,36,11958,11,2020
10325,011 - Appomattox,42,12140,10,2020
11319,011 - Appomattox,38,13256,9,2020
381,011 - Appomattox,38,11846,4,2021
1500,011 - Appomattox,47,21042,8,2021
2493,011 - Appomattox,58,22327,12,2021
3368,011 - Appomattox,41,12709,2,2021
4363,011 - Appomattox,41,11903,1,2021
5478,011 - Appomattox,50,21798,7,2021
6349,011 - Appomattox,41,14010,6,2021
7348,011 - Appomattox,42,10691,3,2021
8338,011 - Appomattox,43,14328,5,2021
9453,011 - Appomattox,56,20367,11,2021
10446,011 - Appomattox,55,20329,10,2021
11442,011 - Appomattox,61,24021,9,2021
502,011 - Appomattox,58,18984,4,2022
1624,011 - Appomattox,60,21712,8,2022
2618,011 - Appomattox,73,54454,12,2022
3488,011 - Appomattox,58,18620,2,2022
4483,011 - Appomattox,58,25986,1,2022
5602,011 - Appomattox,56,23298,7,2022
6472,011 - Appomattox,54,20485,6,2022
7469,011 - Appomattox,55,17809,3,2022
8459,011 - Appomattox,54,21034,5,2022
9577,011 - Appomattox,72,44635,11,2022
10570,011 - Appomattox,71,25056,10,2022
11566,011 - Appomattox,77,30163,9,2022
626,011 - Appomattox,83,61202,4,2023
1749,011 - Appomattox,104,64654,8,2023
2743,011 - Appomattox,91,67065,12,2023
3612,011 - Appomattox,87,59859,2,2023
4608,011 - Appomattox,76,56046,1,2023
5726,011 - Appomattox,95,72753,7,2023
6596,011 - Appomattox,91,62960,6,2023
7593,011 - Appomattox,82,52874,3,2023
8583,011 - Appomattox,85,53476,5,2023
9702,011 - Appomattox,94,66139,11,2023
10695,011 - Appomattox,94,62793,10,2023
11691,011 - Appomattox,104,72095,9,2023
751,011 - Appomattox,106,69337,4,2024
1875,011 - Appomattox,124,99280,8,2024
2869,011 - Appomattox,125,76611,12,2024
3737,011 - Appomattox,103,71145,2,2024
4732,011 - Appomattox,101,65806,1,2024
5853,011 - Appomattox,122,82451,7,2024
6722,011 - Appomattox,105,76091,6,2024
7717,011 - Appomattox,103,71059,3,2024
8709,011 - Appomattox,99,71287,5,2024
9828,011 - Appomattox,119,82348,11,2024
10820,011 - Appomattox,120,71883,10,2024
11816,011 - Appomattox,128,79159,9,2024
877,011 - Appomattox,120,75803,4,2025
3864,011 - Appomattox,127,87711,2,2025
4858,011 - Appomattox,123,79509,1,2025
6848,011 - Appomattox,120,79847,6,2025
7843,011 - Appomattox,122,74356,3,2025
8834,011 - Appomattox,122,82898,5,2025
1004,013 - Arlington,179,156297,8,2017
2002,013 - Arlington,186,150602,12,2017
4985,013 - Arlington,192,167478,7,2017
8961,013 - Arlington,185,153897,11,2017
9955,013 - Arlington,165,125379,10,2017
10947,013 - Arlington,172,146752,9,2017
7,013 - Arlington,187,148599,4,2018
1128,013 - Arlington,159,209134,8,2018
2126,013 - Arlington,121,147708,12,2018
2996,013 - Arlington,175,141468,2,2018
3991,013 - Arlington,178,134208,1,2018
5109,013 - Arlington,181,204877,7,2018
5980,013 - Arlington,163,153630,6,2018
6975,013 - Arlington,173,134577,3,2018
7970,013 - Arlington,176,147606,5,2018
9085,013 - Arlington,124,155753,11,2018
10078,013 - Arlington,131,136283,10,2018
11071,013 - Arlington,152,194797,9,2018
132,013 - Arlington,148,176925,4,2019
1253,013 - Arlington,171,208007.4,8,2019
2250,013 - Arlington,181,196380.7,12,2019
3120,013 - Arlington,130,155217,2,2019
4115,013 - Arlington,124,133910,1,2019
5234,013 - Arlington,168,181999.8,7,2019
6103,013 - Arlington,169,225639,6,2019
7099,013 - Arlington,125,142801,3,2019
8095,013 - Arlington,183,205773,5,2019
9208,013 - Arlington,180,199364.8,11,2019
10202,013 - Arlington,175,179096,10,2019
11196,013 - Arlington,179,200051.2,9,2019
257,013 - Arlington,202,158878.8,4,2020
1378,013 - Arlington,143,168267,8,2020
2374,013 - Arlington,124,135566,12,2020
3244,013 - Arlington,211,233631,2,2020
4239,013 - Arlington,195,208270.4,1,2020
5358,013 - Arlington,182,262391.6,7,2020
6228,013 - Arlington,194,263016,6,2020
7224,013 - Arlington,203,205899,3,2020
8220,013 - Arlington,155,173780,5,2020
9332,013 - Arlington,124,141190,11,2020
10326,013 - Arlington,144,132361,10,2020
11320,013 - Arlington,144,165899.8,9,2020
382,013 - Arlington,128,147525,4,2021
1501,013 - Arlington,163,218624.84,8,2021
2494,013 - Arlington,232,307566.79,12,2021
3369,013 - Arlington,128,133678.9,2,2021
4364,013 - Arlington,117,137423,1,2021
5479,013 - Arlington,164,226587.88,7,2021
6350,013 - Arlington,145,175705.03,6,2021
7349,013 - Arlington,116,122042,3,2021
8339,013 - Arlington,131,170323.2,5,2021
9454,013 - Arlington,224,262371.68,11,2021
10447,013 - Arlington,200,223535.39,10,2021
