"","FIPS","Name","2030 Total Population","2030 Total 0-4","2040 Total Population","2040 Total 0-4","2050 Total Population","2050 Total 0-4","City","Population_16plus","Poverty_Percent","Children_U6_Working_Parents","Median_Income","Unemployment_Rate","Licensed_Capacity_Total","Cap_Centers","Cap_Preschools","Cap_Family","Cap_SchoolAge","Infant_Weekly_Cost","Toddler_Weekly_Cost","Preschool_Weekly_Cost","SchoolAge_Weekly_Cost"
"58","51115","Mathews","7972.0648485871352","292.40422552135391","7522.4748149925499","271.69934791703514","7185.4748149925499","256.74055788152208","Mathews",8760,8.5,133,74489,4.5,70,NA,20,NA,50,0,0,0,0
"59","51117","Mecklenburg","27510.917654415865","1209.1340504055761","26089.925736870329","1152.5121084535213","25059.425736870329","1127.0682900978679","Mecklenburg",30726,NA,1144,50224,3.4,463,403,60,NA,NA,0,0,125,0
"60","51119","Middlesex","10143.486567360311","379.62975439507125","10335.296598977868","384.24195712125669","10681.796598977868","401.6330775285092","Middlesex",10642,9.7,276,57060,5.2,247,58,13,46,130,0,0,0,0
"61","51121","Montgomery","103544.19044808093","4704.2639596561175","109944.63228445897","4966.812068107005","117990.63228445897","5362.4792258656835","Montgomery",98495,23.5,3252,59126,3.5,2295,1770,220,45,260,244,241,232,0
"62","51125","Nelson","14321.723819234801","602.87132912045388","14273.096200631804","602.46448772400299","14438.096200631804","599.54801081460369","Nelson",14812,11.5,584,62203,3.1,105,NA,65,NA,40,0,0,152,143
"63","51127","New Kent","27067.36805230605","1382.1872549688405","31339.800455155568","1598.1429888288424","36081.300455155564","1860.7369460886234","New%20Kent",22310,4.8,823,97688,3.1,538,511,15,12,NA,239,219,219,145
"64","51131","Northampton","12000.480901526751","530.97429552554524","11423.996199350575","493.62368441930357","11018.496199350575","471.41377859284779","Northampton",11826,16.5,364,50819,4.4,543,107,100,26,310,0,0,0,0
"65","51133","Northumberland","11185.335299427152","414.12692845150673","10813.48816458546","411.19935119449639","10603.48816458546","412.80284726750483","Northumberland",12151,13.8,300,59437,4.6,212,NA,NA,12,200,0,0,0,0
"66","51135","Nottoway","15209.808689236903","713.03154137809395","14944.630119537491","675.18130550935859","14903.130119537491","666.90670297899476","Nottoway",15338,16.9,499,49983,4.3,205,165,40,NA,NA,130,130,100,0
"67","51137","Orange","38467.578492310844","2207.7561599699643","43010.336197849596","2495.1661365237564","48196.836197849596","2791.1579675594321","Orange",36501,10.7,1652,74446,5.5,719,348,20,76,275,210,187,177,133
"68","51139","Page","23040.923330931364","1135.1332434005355","22963.229160304694","1127.5892186907538","23229.229160304694","1146.9946238084526","Page",23862,13.4,1014,51878,5.2,222,170,40,12,NA,0,0,0,0
"69","51141","Patrick","16486.245877530713","671.60703402690353","15356.89684850692","611.98184159112066","14457.39684850692","571.10961709761057","Patrick",17660,12.9,478,46941,3.7,64,44,20,NA,NA,0,0,0,0
"70","51143","Pittsylvania","56671.839828680255","2556.0190366729685","55223.304170577758","2480.5487175795415","54601.304170577758","2438.4469813740238","Pittsylvania",60867,15.1,1836,49520,5.3,528,352,116,NA,60,0,0,0,0
"71","51145","Powhatan","32152.417824049498","1442.3349282610427","35597.622748006506","1614.9816572661878","39575.622748006506","1828.3502341099938","Powhatan",29253,4.8,1005,93833,1.4,502,461,21,20,NA,172,167,166,132
"72","51147","Prince Edward","20038.585357539127","833.2134874146675","20791.889953639657","850.29924285863524","21856.389953639657","874.39739612956521","Prince%20Edward",22892,23.2,679,44253,5.9,348,277,65,6,NA,0,0,0,0
"73","51149","Prince George","49574.06052914069","2740.4684060367467","53751.060172619946","2953.1262572382038","58732.560172619946","2971.4279474090854","Prince%20George",38292,7.1,1654,75123,6.5,411,69,NA,12,330,0,0,0,0
"74","51153","Prince William","554344.35005372111","39987.165080000865","645380.34352877166","46994.088344001677","746075.84352877166","52728.722579528658","Prince%20William",466834,6.1,26181,107707,4.6,19826,12200,549,1234,5843,337,324,290,227
"75","51155","Pulaski","32258.869728555856","1496.7358717145996","31129.450471847809","1417.1317724673477","30465.950471847809","1392.118045724711","Pulaski",34113,13.5,1341,53689,4.9,754,358,146,NA,250,233,233,172,0
